"Sp1"	"Sp2"	"Cscore"	"bin"	"obs.C.score"	"exp.C.score"	"Zscore"	"pval_less"	"pval_greater"
"1"	"Aphrygiatus"	"Aquadriscutis"	0.553330228225431	"13"	0.553330228225431	0.144096413600373	12.9443609663927	1	9.99900009999e-05
"2"	"Aphrygiatus"	"Arugispinis"	0.60074508560558	"14"	0.60074508560558	0.27354153455929	7.71455701476526	1	9.99900009999e-05
"3"	"Aphrygiatus"	"Bbagre"	0.586918541166193	"13"	0.586918541166193	0.0464075125573269	16.127740635073	1	9.99900009999e-05
"4"	"Aphrygiatus"	"Cspixii"	0.599358974358974	"14"	0.599358974358974	0.156545209176788	15.5000955200616	1	9.99900009999e-05
"5"	"Aphrygiatus"	"Ngrandicassis"	0.690126050420168	"16"	0.690126050420168	0.146782397169394	19.090592503778	1	9.99900009999e-05
"6"	"Aphrygiatus"	"Sparkeri"	0.716034271725826	"16"	0.716034271725826	0.277310281517748	11.165350944992	1	9.99900009999e-05
"7"	"Aphrygiatus"	"Sproops"	0.801777170198223	"18"	0.801777170198223	0.604921394395079	4.31142711267975	1	9.99900009999e-05
"8"	"Aquadriscutis"	"Sparkeri"	0.0356812101255402	"1"	0.0356812101255402	0.0967277217534472	-3.95337464156256	9.99900009999e-05	1
"9"	"Arugispinis"	"Cspixii"	0.0453094428998043	"1"	0.0453094428998043	0.0858047574915045	-2.79272494789011	0.0017998200179982	0.999300069993001
"10"	"Arugispinis"	"Scouma"	0.507388042736986	"12"	0.507388042736986	0.355535348942942	3.52729199582316	0.999400059994001	0.0010998900109989
"11"	"Bbagre"	"Scouma"	0.65176544273076	"15"	0.65176544273076	0.0755499882564785	13.3986756838266	1	9.99900009999e-05
"12"	"Cspixii"	"Scouma"	0.609579100145138	"14"	0.609579100145138	0.154007418158362	11.4517837618257	1	9.99900009999e-05
"13"	"Ngrandicassis"	"Scouma"	0.610432852386238	"14"	0.610432852386238	0.0908514349135881	11.8803392605269	1	9.99900009999e-05
"14"	"Scouma"	"Sparkeri"	0.786748573935937	"18"	0.786748573935937	0.340280824923212	9.0578022926996	1	9.99900009999e-05
"15"	"Scouma"	"Sproops"	0.760842930654251	"17"	0.760842930654251	0.553050722862044	2.24339668236444	0.992100789921008	0.0226977302269773
