Sp1	Sp2	obs.C-score	exp.C-score	Zscore	pval_less	pval_greater
Aphrygiatus	Aquadriscutis	0.553330228225431	0.133674895202608	12.9232392888147	1	9.99900009999e-05
Aphrygiatus	Arugispinis	0.60074508560558	0.27354153455929	7.69721990905628	1	9.99900009999e-05
Aphrygiatus	Bbagre	0.586918541166193	0.0854990172526753	16.0607086900589	1	9.99900009999e-05
Aphrygiatus	Cspixii	0.599358974358974	0.145917678812416	15.5792364224207	1	9.99900009999e-05
Aphrygiatus	Ngrandicassis	0.690126050420168	0.115435647943388	19.2450139356365	1	9.99900009999e-05
Aphrygiatus	Scouma	0.245779543197617	0.600297914597815	-4.97395314236956	9.99900009999e-05	1
Aphrygiatus	Sparkeri	0.716034271725826	0.277310281517748	11.1876011368477	1	9.99900009999e-05
Aphrygiatus	Sproops	0.801777170198223	0.526315789473684	4.26540295745758	1	9.99900009999e-05
Aquadriscutis	Arugispinis	0.0276148843160252	0.0992643138927391	-4.65705003798875	9.99900009999e-05	1
Aquadriscutis	Bbagre	0.0305878896926523	0.0596702530018727	-2.96297980365187	0.0006999300069993	0.999700029997
Aquadriscutis	Cspixii	0.0270024960290447	0.0611338022842448	-3.68873954556742	9.99900009999e-05	1
Aquadriscutis	Ngrandicassis	0.0247824793634268	0.0640477429910017	-3.92030652059509	9.99900009999e-05	1
Aquadriscutis	Scouma	0.269661045249624	0.13675070963433	2.61207546008614	0.996300369963004	0.0121987801219878
Aquadriscutis	Sparkeri	0.0356812101255402	0.0933062358509981	-3.9067334187682	9.99900009999e-05	1
Aquadriscutis	Sproops	0.0627514078841512	0.13113435237329	-2.4664140223278	0.0058994100589941	0.998100189981002
Arugispinis	Bbagre	0.0285957106434035	0.0753886916962456	-3.77433201784871	0.0001999800019998	1
Arugispinis	Cspixii	0.0453094428998043	0.0790083410565338	-2.81943157428452	0.0015998400159984	0.999200079992001
Arugispinis	Ngrandicassis	0.0279690189328744	0.0774526678141136	-4.03607527957504	9.99900009999e-05	1
Arugispinis	Scouma	0.507388042736986	0.26801545805865	3.52929061493148	0.999700029997	0.0010998900109989
Arugispinis	Sparkeri	0.0529560100868591	0.143142336789017	-4.90791240973649	9.99900009999e-05	1
Arugispinis	Sproops	0.103739633860116	0.256297918948521	-4.00751302338742	9.99900009999e-05	1
Bbagre	Cspixii	0.018512607724226	0.0432315494556158	-4.5056841447275	9.99900009999e-05	1
Bbagre	Ngrandicassis	0.0172600160396109	0.0616827643920639	-4.62398985807201	9.99900009999e-05	1
Bbagre	Scouma	0.65176544273076	0.155014483676505	13.129714665191	1	9.99900009999e-05
Bbagre	Sparkeri	0.0148605616134324	0.0716491363504777	-5.05914808819041	9.99900009999e-05	1
Bbagre	Sproops	0.045535377485585	0.0839036482190009	-2.39773485200727	0.0060993900609939	0.998200179982002
Cspixii	Ngrandicassis	0.0171837965955613	0.0466314731020613	-4.77240928621138	9.99900009999e-05	1
Cspixii	Scouma	0.609579100145138	0.186744073536526	11.2734643675535	1	9.99900009999e-05
Cspixii	Sparkeri	0.0242248062015504	0.0716308884913536	-4.4821065425659	9.99900009999e-05	1
Ngrandicassis	Scouma	0.610432852386238	0.0599334073251942	11.8564884215392	1	9.99900009999e-05
Ngrandicassis	Sparkeri	0.0228649599374634	0.0642954856361149	-4.46526515649248	9.99900009999e-05	1
Ngrandicassis	Sproops	0.0177889337553203	0.133689839572193	-3.45563333441853	0.0001999800019998	1
Scouma	Sparkeri	0.786748573935937	0.220491443615621	9.05270941582624	1	9.99900009999e-05
Scouma	Sproops	0.760842930654251	0.679245283018868	2.27982276283428	0.994000599940006	0.0175982401759824
Sparkeri	Sproops	0.124584717607973	0.248716399879191	-3.24780271408477	0.0005999400059994	0.999900009999
