"Comp.1" "Comp.2" "Comp.3"
"1" 0.794753109502827 1.12032632566842 0.885091517229204
"2" 0.610844356123669 1.28945391538391 -0.59099731436714
"3" 0.836372967031898 1.53281846239082 -0.227551307958296
"4" -0.0777970391564914 1.07493939927477 -0.294373888836374
"5" -1.02046388556992 0.943372403979786 0.0394139546563615
"6" -1.47612090609841 0.744390231771778 0.308444578924863
"8" -1.44490220534476 0.791370238903877 0.681872212998699
"12" -1.46156880234318 0.743955802854386 0.498940745855053
"13" -1.35937695517715 0.544671252638979 0.0108423329348046
"14" -1.06230887981872 0.796866618838597 -0.312112784963882
"15" -0.674205242733203 1.00228954607331 -0.105289085360619
"16" -0.315588885676646 1.23583444586547 -0.282194665444716
"17" -0.0276030181607686 1.66748163522764 -0.616676896592909
"18" 0.158212941962896 1.21129438552748 -0.953339816921279
"19" 0.35170741745054 1.38811095157669 -0.755422541419646
"20" 1.15307291024378 1.30749032813416 -0.105633486532942
"21" 1.37275112663752 1.31519470776967 0.0856969152193346
"22" 0.737323627394235 1.35098404127894 -0.313548038659052
"23" 0.465429778529105 1.57340802609648 -0.479494966523524
"24" -0.0581308116222493 1.72421617803814 -0.592939461322098
"25" -1.46448882611983 0.720262572114674 0.197259794698872
"26" -1.94131280101949 0.29279982402028 0.513372440517284
"27" -2.01316356630269 0.151504457495505 0.498238886921704
"28" -1.9387748699134 -0.0139460437350433 0.545934083973721
"29" -1.74863802862386 0.253378967187229 0.736826607259549
"30" -1.42930637983423 0.700995899419195 0.881619059638576
"31" -1.85621202436216 0.489685678846811 0.509031146417917
"32" -1.80484039736363 -0.1534736362336 0.531710670928211
"33" -1.85184098226356 -0.125866127229248 0.575087810216215
"34" -1.39512454586987 0.379059478236958 0.474879766201705
"35" -1.00431508792478 0.944183377467667 0.228186879040098
"36" -0.517278107195836 1.1883275274701 -0.0770760825769148
"37" -0.369578787263436 1.27588751285532 -0.130893631785576
"38" 0.716061238813804 1.32598499344296 -0.289638305507343
"39" 0.738793368891249 1.55861263135048 -0.338744150091066
"40" 0.995636269879795 1.08264869419598 -0.333759197715943
"41" 0.985778087119308 1.05090220082293 -0.320368902366538
"42" 1.79909338286674 0.876415118220934 0.328322021729095
"43" 1.20451622775324 1.09932982258079 -0.132764194665013
"53" 1.71068238742445 -0.760919454068701 -0.0114887358050543
"55" 1.02708545961982 -0.120438974274592 -0.43218503310495
"56" 0.714285882751932 0.123193291442014 -0.560057447939742
"57" -0.199591524310854 1.16869842454455 -0.389363628487914
"58" -0.697543661716218 1.24046352212889 0.0954380549422822
"59" -0.904469995317836 1.11355803354123 0.314820450690637
"61" -0.29260068709033 0.471458114242228 -0.627261379577312
"62" 0.196246557518662 0.292399782337787 -0.68107211146
"63" -0.234140193595451 0.61048733218209 -0.496184350067161
"64" -1.24611449820254 0.658272024868981 -0.114284946994256
"65" -0.32542458064091 0.182817595703217 -0.561759276505778
"66" -0.529476318674466 0.724123124441414 -0.626482565255457
"67" 0.0361010303313943 0.556315426099939 -0.347839726616201
"68" -0.00670348569919049 0.895868382520309 -0.5491399974225
"69" -0.394385342491002 0.682441603116469 -0.140903811793815
"70" -0.449151808015031 0.810565779025252 -0.101331325884582
"71" -0.418213810565994 1.28207418635532 -0.390730096821488
"72" -0.644858704176114 1.05679876013392 -0.345431084118694
"73" -0.914159394180932 1.14117362228415 -0.498160411596506
"74" -0.503731589455345 1.04351660878814 -0.688492198448035
"75" -0.642619273440475 1.10990472604401 -0.76342878867733
"76" -0.314007605312981 1.27312675247838 -0.49287847050714
